SampleID	Compartment	Site	Cultivation	Run	Cultivar	SampleCounts	Description	paired_id	paired_type	location
JE.Soil.190	Rhizosphere	Arbuckle	Greenhouse	4	93-11	39724	1-9-1mm	9-1-plant	plant	Arbuckle
JE.Soil.110	Rhizosphere	Sacramento	Greenhouse	3	93-11	78980	10-9-1mm	9-10-plant	plant	Sacramento
JE.Soil.310	Rhizosphere	Sacramento	Greenhouse	4	93-11	65560	11-9-1mm	9-11-plant	plant	Sacramento
JE.Soil.134	Rhizosphere	Sacramento	Greenhouse	3	93-11	35111	12-9-1mm	9-12-plant	plant	Sacramento
JE.Soil.214	Rhizosphere	Arbuckle	Greenhouse	4	93-11	51050	2-9-1mm	9-2-plant	plant	Arbuckle
JE.Soil.14	Rhizosphere	Arbuckle	Greenhouse	3	93-11	39636	3-9-1mm	9-3-plant	plant	Arbuckle
JE.Soil.38	Rhizosphere	Arbuckle	Greenhouse	3	93-11	35023	4-9-1mm	9-4-plant	plant	Arbuckle
JE.Soil.62	Rhizosphere	Davis	Greenhouse	3	93-11	41386	5-9-1mm	9-5-plant	plant	Davis
JE.Soil.86	Rhizosphere	Davis	Greenhouse	3	93-11	40904	7-9-1mm	9-7-plant	plant	Davis
JE.Soil.262	Rhizosphere	Davis	Greenhouse	4	93-11	95911	8-9-1mm	9-8-plant	plant	Davis
JE.Soil.286	Rhizosphere	Sacramento	Greenhouse	4	93-11	68478	9-9-1mm	9-9-plant	plant	Sacramento
JE.Soil.198	Rhizosphere	Arbuckle	Greenhouse	4	Glab_B	86397	1-B-1mm	B-1-plant	plant	Arbuckle
JE.Soil.118	Rhizosphere	Sacramento	Greenhouse	3	Glab_B	89221	10-B-1mm	B-10-plant	plant	Sacramento
JE.Soil.318	Rhizosphere	Sacramento	Greenhouse	4	Glab_B	84188	11-B-1mm	B-11-plant	plant	Sacramento
JE.Soil.142	Rhizosphere	Sacramento	Greenhouse	3	Glab_B	35921	12-B-1mm	B-12-plant	plant	Sacramento
JE.Soil.222	Rhizosphere	Arbuckle	Greenhouse	4	Glab_B	53120	2-B-1mm	B-2-plant	plant	Arbuckle
JE.Soil.22	Rhizosphere	Arbuckle	Greenhouse	3	Glab_B	51110	3-B-1mm	B-3-plant	plant	Arbuckle
JE.Soil.46	Rhizosphere	Arbuckle	Greenhouse	3	Glab_B	34080	4-B-1mm	B-4-plant	plant	Arbuckle
JE.Soil.70	Rhizosphere	Davis	Greenhouse	3	Glab_B	56085	5-B-1mm	B-5-plant	plant	Davis
JE.Soil.270	Rhizosphere	Davis	Greenhouse	4	Glab_B	79304	8-B-1mm	B-8-plant	plant	Davis
JE.Soil.294	Rhizosphere	Sacramento	Greenhouse	4	Glab_B	228561	9-B-1mm	B-9-plant	plant	Sacramento
JE.Lundberg.121	Rhizosphere	BB P1	Organic	1	S102	74331	Rhizosphere_6.1	BB P1-6.1-plant	plant	BB P1
JE.Lundberg.124	Rhizosphere	BB P1	Organic	1	S102	113432	Rhizosphere_6.2	BB P1-6.2-plant	plant	BB P1
JE.Lundberg.127	Rhizosphere	BB P1	Organic	1	S102	92773	Rhizosphere_6.3	BB P1-6.3-plant	plant	BB P1
JE.Lundberg.130	Rhizosphere	BB P1	Organic	1	S102	93943	Rhizosphere_6.4	BB P1-6.4-plant	plant	BB P1
JE.Lundberg.133	Rhizosphere	BB P1	Organic	1	S102	98406	Rhizosphere_6.5	BB P1-6.5-plant	plant	BB P1
JE.Lundberg.136	Rhizosphere	BB P1	Organic	1	S102	103346	Rhizosphere_6.6	BB P1-6.6-plant	plant	BB P1
JE.Lundberg.139	Rhizosphere	BB P1	Organic	1	S102	92035	Rhizosphere_6.7	BB P1-6.7-plant	plant	BB P1
JE.Lundberg.142	Rhizosphere	BB P1	Organic	1	S102	107319	Rhizosphere_6.8	BB P1-6.8-plant	plant	BB P1
JE.Lundberg.145	Rhizosphere	BB P4	Organic	2	S102	91944	Rhizosphere_7.1	BB P4-7.1-plant	plant	BB P4
JE.Lundberg.148	Rhizosphere	BB P4	Organic	2	S102	139314	Rhizosphere_7.2	BB P4-7.2-plant	plant	BB P4
JE.Lundberg.151	Rhizosphere	BB P4	Organic	2	S102	88276	Rhizosphere_7.3	BB P4-7.3-plant	plant	BB P4
JE.Lundberg.154	Rhizosphere	BB P4	Organic	2	S102	115017	Rhizosphere_7.4	BB P4-7.4-plant	plant	BB P4
JE.Lundberg.157	Rhizosphere	BB P4	Organic	2	S102	125756	Rhizosphere_7.5	BB P4-7.5-plant	plant	BB P4
JE.Lundberg.160	Rhizosphere	BB P4	Organic	2	S102	133641	Rhizosphere_7.6	BB P4-7.6-plant	plant	BB P4
JE.Lundberg.163	Rhizosphere	BB P4	Organic	2	S102	161250	Rhizosphere_7.7	BB P4-7.7-plant	plant	BB P4
JE.Lundberg.166	Rhizosphere	BB P4	Organic	2	S102	111813	Rhizosphere_7.8	BB P4-7.8-plant	plant	BB P4
JE.Lundberg.1	Rhizosphere	Ditaler 18	Organic	1	S102	45658	Rhizosphere_1.1	Ditaler 18-1.1-plant	plant	Ditaler 18
JE.Lundberg.4	Rhizosphere	Ditaler 18	Organic	1	S102	83364	Rhizosphere_1.2	Ditaler 18-1.2-plant	plant	Ditaler 18
JE.Lundberg.7	Rhizosphere	Ditaler 18	Organic	1	S102	66286	Rhizosphere_1.3	Ditaler 18-1.3-plant	plant	Ditaler 18
JE.Lundberg.10	Rhizosphere	Ditaler 18	Organic	1	S102	95299	Rhizosphere_1.4	Ditaler 18-1.4-plant	plant	Ditaler 18
JE.Lundberg.13	Rhizosphere	Ditaler 18	Organic	1	S102	21907	Rhizosphere_1.5	Ditaler 18-1.5-plant	plant	Ditaler 18
JE.Lundberg.16	Rhizosphere	Ditaler 18	Organic	1	S102	100481	Rhizosphere_1.6	Ditaler 18-1.6-plant	plant	Ditaler 18
JE.Lundberg.19	Rhizosphere	Ditaler 18	Organic	1	S102	92518	Rhizosphere_1.7	Ditaler 18-1.7-plant	plant	Ditaler 18
JE.Lundberg.22	Rhizosphere	Ditaler 18	Organic	1	S102	85255	Rhizosphere_1.8	Ditaler 18-1.8-plant	plant	Ditaler 18
JE.Lundberg.25	Rhizosphere	Ditaler 19	Organic	2	S102	87617	Rhizosphere_2.1	Ditaler 19-2.1-plant	plant	Ditaler 19
JE.Lundberg.28	Rhizosphere	Ditaler 19	Organic	2	S102	115537	Rhizosphere_2.2	Ditaler 19-2.2-plant	plant	Ditaler 19
JE.Lundberg.31	Rhizosphere	Ditaler 19	Organic	2	S102	94242	Rhizosphere_2.3	Ditaler 19-2.3-plant	plant	Ditaler 19
JE.Lundberg.34	Rhizosphere	Ditaler 19	Organic	2	S102	84800	Rhizosphere_2.4	Ditaler 19-2.4-plant	plant	Ditaler 19
JE.Lundberg.37	Rhizosphere	Ditaler 19	Organic	2	S102	103885	Rhizosphere_2.5	Ditaler 19-2.5-plant	plant	Ditaler 19
JE.Lundberg.40	Rhizosphere	Ditaler 19	Organic	2	S102	98206	Rhizosphere_2.6	Ditaler 19-2.6-plant	plant	Ditaler 19
JE.Lundberg.43	Rhizosphere	Ditaler 19	Organic	2	S102	119565	Rhizosphere_2.7	Ditaler 19-2.7-plant	plant	Ditaler 19
JE.Lundberg.46	Rhizosphere	Ditaler 19	Organic	2	S102	99082	Rhizosphere_2.8	Ditaler 19-2.8-plant	plant	Ditaler 19
JE.Lundberg.97	Rhizosphere	DS RR	EcoFarm	1	S102	107424	Rhizosphere_5.1	DS RR-5.1-plant	plant	DS RR
JE.Lundberg.100	Rhizosphere	DS RR	EcoFarm	1	S102	89359	Rhizosphere_5.2	DS RR-5.2-plant	plant	DS RR
JE.Lundberg.103	Rhizosphere	DS RR	EcoFarm	1	S102	71382	Rhizosphere_5.3	DS RR-5.3-plant	plant	DS RR
JE.Lundberg.106	Rhizosphere	DS RR	EcoFarm	1	S102	86923	Rhizosphere_5.4	DS RR-5.4-plant	plant	DS RR
JE.Lundberg.109	Rhizosphere	DS RR	EcoFarm	1	S102	62147	Rhizosphere_5.5	DS RR-5.5-plant	plant	DS RR
JE.Lundberg.112	Rhizosphere	DS RR	EcoFarm	1	S102	81073	Rhizosphere_5.6	DS RR-5.6-plant	plant	DS RR
JE.Lundberg.115	Rhizosphere	DS RR	EcoFarm	1	S102	78061	Rhizosphere_5.7	DS RR-5.7-plant	plant	DS RR
JE.Lundberg.118	Rhizosphere	DS RR	EcoFarm	1	S102	76483	Rhizosphere_5.8	DS RR-5.8-plant	plant	DS RR
JE.Soil.194	Rhizosphere	Arbuckle	Greenhouse	4	Glab_E	30421	1-E-1mm	E-1-plant	plant	Arbuckle
JE.Soil.314	Rhizosphere	Sacramento	Greenhouse	4	Glab_E	92378	11-E-1mm	E-11-plant	plant	Sacramento
JE.Soil.138	Rhizosphere	Sacramento	Greenhouse	3	Glab_E	78606	12-E-1mm	E-12-plant	plant	Sacramento
JE.Soil.218	Rhizosphere	Arbuckle	Greenhouse	4	Glab_E	85294	2-E-1mm	E-2-plant	plant	Arbuckle
JE.Soil.18	Rhizosphere	Arbuckle	Greenhouse	3	Glab_E	36422	3-E-1mm	E-3-plant	plant	Arbuckle
JE.Soil.42	Rhizosphere	Arbuckle	Greenhouse	3	Glab_E	39725	4-E-1mm	E-4-plant	plant	Arbuckle
JE.Soil.66	Rhizosphere	Davis	Greenhouse	3	Glab_E	63011	5-E-1mm	E-5-plant	plant	Davis
JE.Soil.266	Rhizosphere	Davis	Greenhouse	4	Glab_E	66131	8-E-1mm	E-8-plant	plant	Davis
JE.Soil.290	Rhizosphere	Sacramento	Greenhouse	4	Glab_E	46865	9-E-1mm	E-9-plant	plant	Sacramento
JE.Soil.186	Rhizosphere	Arbuckle	Greenhouse	4	IR50	69957	1-I-1mm	I-1-plant	plant	Arbuckle
JE.Soil.106	Rhizosphere	Sacramento	Greenhouse	3	IR50	33139	10-I-1mm	I-10-plant	plant	Sacramento
JE.Soil.130	Rhizosphere	Sacramento	Greenhouse	3	IR50	123586	12-I-1mm	I-12-plant	plant	Sacramento
JE.Soil.210	Rhizosphere	Arbuckle	Greenhouse	4	IR50	155602	2-I-1mm	I-2-plant	plant	Arbuckle
JE.Soil.34	Rhizosphere	Arbuckle	Greenhouse	3	IR50	26259	4-I-1mm	I-4-plant	plant	Arbuckle
JE.Soil.58	Rhizosphere	Davis	Greenhouse	3	IR50	69366	5-I-1mm	I-5-plant	plant	Davis
JE.Soil.234	Rhizosphere	Davis	Greenhouse	4	IR50	58041	6-I-1mm	I-6-plant	plant	Davis
JE.Soil.82	Rhizosphere	Davis	Greenhouse	3	IR50	67661	7-I-1mm	I-7-plant	plant	Davis
JE.Soil.258	Rhizosphere	Davis	Greenhouse	4	IR50	76510	8-I-1mm	I-8-plant	plant	Davis
JE.Soil.282	Rhizosphere	Sacramento	Greenhouse	4	IR50	53567	9-I-1mm	I-9-plant	plant	Sacramento
JE.Soil.182	Rhizosphere	Arbuckle	Greenhouse	4	M104	69931	1-M-1mm	M-1-plant	plant	Arbuckle
JE.Soil.102	Rhizosphere	Sacramento	Greenhouse	3	M104	153728	10-M-1mm	M-10-plant	plant	Sacramento
JE.Soil.302	Rhizosphere	Sacramento	Greenhouse	4	M104	203420	11-M-1mm	M-11-plant	plant	Sacramento
JE.Soil.126	Rhizosphere	Sacramento	Greenhouse	3	M104	71115	12-M-1mm	M-12-plant	plant	Sacramento
JE.Soil.206	Rhizosphere	Arbuckle	Greenhouse	4	M104	75353	2-M-1mm	M-2-plant	plant	Arbuckle
JE.Soil.6	Rhizosphere	Arbuckle	Greenhouse	3	M104	36255	3-M-1mm	M-3-plant	plant	Arbuckle
JE.Soil.30	Rhizosphere	Arbuckle	Greenhouse	3	M104	34524	4-M-1mm	M-4-plant	plant	Arbuckle
JE.Soil.54	Rhizosphere	Davis	Greenhouse	3	M104	84647	5-M-1mm	M-5-plant	plant	Davis
JE.Soil.78	Rhizosphere	Davis	Greenhouse	3	M104	74494	7-M-1mm	M-7-plant	plant	Davis
JE.Soil.254	Rhizosphere	Davis	Greenhouse	4	M104	135968	8-M-1mm	M-8-plant	plant	Davis
JE.Soil.278	Rhizosphere	Sacramento	Greenhouse	4	M104	55255	9-M-1mm	M-9-plant	plant	Sacramento
JE.Soil.178	Rhizosphere	Arbuckle	Greenhouse	4	Nipponebare	145874	1-N-1mm	N-1-plant	plant	Arbuckle
JE.Soil.98	Rhizosphere	Sacramento	Greenhouse	3	Nipponebare	104694	10-N-1mm	N-10-plant	plant	Sacramento
JE.Soil.298	Rhizosphere	Sacramento	Greenhouse	4	Nipponebare	166193	11-N-1mm	N-11-plant	plant	Sacramento
JE.Soil.122	Rhizosphere	Sacramento	Greenhouse	3	Nipponebare	127707	12-N-1mm	N-12-plant	plant	Sacramento
JE.Soil.202	Rhizosphere	Arbuckle	Greenhouse	4	Nipponebare	140518	2-N-1mm	N-2-plant	plant	Arbuckle
JE.Soil.2	Rhizosphere	Arbuckle	Greenhouse	3	Nipponebare	46999	3-N-1mm	N-3-plant	plant	Arbuckle
JE.Soil.26	Rhizosphere	Arbuckle	Greenhouse	3	Nipponebare	50431	4-N-1mm	N-4-plant	plant	Arbuckle
JE.Soil.50	Rhizosphere	Davis	Greenhouse	3	Nipponebare	130735	5-N-1mm	N-5-plant	plant	Davis
JE.Soil.74	Rhizosphere	Davis	Greenhouse	3	Nipponebare	127418	7-N-1mm	N-7-plant	plant	Davis
JE.Soil.250	Rhizosphere	Davis	Greenhouse	4	Nipponebare	83143	8-N-1mm	N-8-plant	plant	Davis
JE.Soil.274	Rhizosphere	Sacramento	Greenhouse	4	Nipponebare	56938	9-N-1mm	N-9-plant	plant	Sacramento
JE.Lundberg.169	Rhizosphere	Scheidec	Organic	2	S102	90999	Rhizosphere_8.1	Scheidec-8.1-plant	plant	Scheidec
JE.Lundberg.172	Rhizosphere	Scheidec	Organic	2	S102	107668	Rhizosphere_8.2	Scheidec-8.2-plant	plant	Scheidec
JE.Lundberg.175	Rhizosphere	Scheidec	Organic	2	S102	123651	Rhizosphere_8.3	Scheidec-8.3-plant	plant	Scheidec
JE.Lundberg.178	Rhizosphere	Scheidec	Organic	2	S102	229407	Rhizosphere_8.4	Scheidec-8.4-plant	plant	Scheidec
JE.Lundberg.181	Rhizosphere	Scheidec	Organic	2	S102	131971	Rhizosphere_8.5	Scheidec-8.5-plant	plant	Scheidec
JE.Lundberg.187	Rhizosphere	Scheidec	Organic	2	S102	98692	Rhizosphere_8.7	Scheidec-8.7-plant	plant	Scheidec
JE.Lundberg.190	Rhizosphere	Scheidec	Organic	2	S102	113418	Rhizosphere_8.8	Scheidec-8.8-plant	plant	Scheidec
JE.Lundberg.73	Rhizosphere	SFT 20 A	EcoFarm	2	S102	116855	Rhizosphere_4.1	SFT 20 A-4.1-plant	plant	SFT 20 A
JE.Lundberg.76	Rhizosphere	SFT 20 A	EcoFarm	2	S102	101097	Rhizosphere_4.2	SFT 20 A-4.2-plant	plant	SFT 20 A
JE.Lundberg.79	Rhizosphere	SFT 20 A	EcoFarm	2	S102	100076	Rhizosphere_4.3	SFT 20 A-4.3-plant	plant	SFT 20 A
JE.Lundberg.82	Rhizosphere	SFT 20 A	EcoFarm	2	S102	175359	Rhizosphere_4.4	SFT 20 A-4.4-plant	plant	SFT 20 A
JE.Lundberg.85	Rhizosphere	SFT 20 A	EcoFarm	2	S102	27814	Rhizosphere_4.5	SFT 20 A-4.5-plant	plant	SFT 20 A
JE.Lundberg.88	Rhizosphere	SFT 20 A	EcoFarm	2	S102	117269	Rhizosphere_4.6	SFT 20 A-4.6-plant	plant	SFT 20 A
JE.Lundberg.91	Rhizosphere	SFT 20 A	EcoFarm	2	S102	94496	Rhizosphere_4.7	SFT 20 A-4.7-plant	plant	SFT 20 A
JE.Lundberg.94	Rhizosphere	SFT 20 A	EcoFarm	2	S102	127372	Rhizosphere_4.8	SFT 20 A-4.8-plant	plant	SFT 20 A
JE.Lundberg.49	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	69814	Rhizosphere_3.1	Spooner Airstrip-3.1-plant	plant	Spooner Airstrip
JE.Lundberg.52	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	66703	Rhizosphere_3.2	Spooner Airstrip-3.2-plant	plant	Spooner Airstrip
JE.Lundberg.55	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	64636	Rhizosphere_3.3	Spooner Airstrip-3.3-plant	plant	Spooner Airstrip
JE.Lundberg.58	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	52160	Rhizosphere_3.4	Spooner Airstrip-3.4-plant	plant	Spooner Airstrip
JE.Lundberg.61	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	59483	Rhizosphere_3.5	Spooner Airstrip-3.5-plant	plant	Spooner Airstrip
JE.Lundberg.64	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	50805	Rhizosphere_3.6	Spooner Airstrip-3.6-plant	plant	Spooner Airstrip
JE.Lundberg.67	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	66586	Rhizosphere_3.7	Spooner Airstrip-3.7-plant	plant	Spooner Airstrip
JE.Lundberg.70	Rhizosphere	Spooner Airstrip	EcoFarm	1	S102	69346	Rhizosphere_3.8	Spooner Airstrip-3.8-plant	plant	Spooner Airstrip
JE.Soil.191	Rhizoplane	Arbuckle	Greenhouse	4	93-11	65637	1-9-BF	9-1-plant	plant	Arbuckle
JE.Soil.111	Rhizoplane	Sacramento	Greenhouse	3	93-11	43894	10-9-BF	9-10-plant	plant	Sacramento
JE.Soil.135	Rhizoplane	Sacramento	Greenhouse	3	93-11	27209	12-9-BF	9-12-plant	plant	Sacramento
JE.Soil.215	Rhizoplane	Arbuckle	Greenhouse	4	93-11	60160	2-9-BF	9-2-plant	plant	Arbuckle
JE.Soil.15	Rhizoplane	Arbuckle	Greenhouse	3	93-11	50053	3-9-BF	9-3-plant	plant	Arbuckle
JE.Soil.39	Rhizoplane	Arbuckle	Greenhouse	3	93-11	30171	4-9-BF	9-4-plant	plant	Arbuckle
JE.Soil.63	Rhizoplane	Davis	Greenhouse	3	93-11	39906	5-9-BF	9-5-plant	plant	Davis
JE.Soil.239	Rhizoplane	Davis	Greenhouse	4	93-11	47050	6-9-BF	9-6-plant	plant	Davis
JE.Soil.87	Rhizoplane	Davis	Greenhouse	3	93-11	42461	7-9-BF	9-7-plant	plant	Davis
JE.Soil.287	Rhizoplane	Sacramento	Greenhouse	4	93-11	75216	9-9-BF	9-9-plant	plant	Sacramento
JE.Soil.199	Rhizoplane	Arbuckle	Greenhouse	4	Glab_B	68120	1-B-BF	B-1-plant	plant	Arbuckle
