sample_id	site	rhizoplane	endosphere	cultivar
Arbuckle_9_1	Arbuckle	1-9-BF	1-9-Endo	93-11
Arbuckle_9_10	Arbuckle	10-9-BF	10-9-Endo	93-11
Arbuckle_9_12	Arbuckle	12-9-BF	12-9-Endo	93-11
Arbuckle_9_2	Arbuckle	2-9-BF	2-9-Endo	93-11
Arbuckle_9_3	Arbuckle	3-9-BF	3-9-Endo	93-11
Arbuckle_9_4	Arbuckle	4-9-BF	4-9-Endo	93-11
Arbuckle_9_5	Arbuckle	5-9-BF	5-9-Endo	93-11
Arbuckle_9_6	Arbuckle	6-9-BF	6-9-Endo	93-11
Arbuckle_9_7	Arbuckle	7-9-BF	7-9-Endo	93-11
Arbuckle_9_9	Arbuckle	9-9-BF	9-9-Endo	93-11
Arbuckle_B_1	Arbuckle	1-B-BF	1-B-Endo	Glab_B
Arbuckle_B_10	Arbuckle	10-B-BF	10-B-Endo	Glab_B
Arbuckle_B_11	Arbuckle	11-B-BF	11-B-Endo	Glab_B
Arbuckle_B_12	Arbuckle	12-B-BF	12-B-Endo	Glab_B
Arbuckle_B_2	Arbuckle	2-B-BF	2-B-Endo	Glab_B
Arbuckle_B_3	Arbuckle	3-B-BF	3-B-Endo	Glab_B
Arbuckle_B_4	Arbuckle	4-B-BF	4-B-Endo	Glab_B
Arbuckle_B_5	Arbuckle	5-B-BF	5-B-Endo	Glab_B
Arbuckle_B_7	Arbuckle	7-B-BF	7-B-Endo	Glab_B
Arbuckle_B_9	Arbuckle	9-B-BF	9-B-Endo	Glab_B
Arbuckle_E_1	Arbuckle	1-E-BF	1-E-Endo	Glab_E
Arbuckle_E_10	Arbuckle	10-E-BF	10-E-Endo	Glab_E
Arbuckle_E_11	Arbuckle	11-E-BF	11-E-Endo	Glab_E
Arbuckle_E_2	Arbuckle	2-E-BF	2-E-Endo	Glab_E
Arbuckle_E_3	Arbuckle	3-E-BF	3-E-Endo	Glab_E
Arbuckle_E_4	Arbuckle	4-E-BF	4-E-Endo	Glab_E
Arbuckle_E_5	Arbuckle	5-E-BF	5-E-Endo	Glab_E
Arbuckle_E_7	Arbuckle	7-E-BF	7-E-Endo	Glab_E
Arbuckle_I_1	Arbuckle	1-I-BF	1-I-Endo	IR50
Arbuckle_I_10	Arbuckle	10-I-BF	10-I-Endo	IR50
Arbuckle_I_11	Arbuckle	11-I-BF	11-I-Endo	IR50
Arbuckle_I_2	Arbuckle	2-I-BF	2-I-Endo	IR50
Arbuckle_I_4	Arbuckle	4-I-BF	4-I-Endo	IR50
Arbuckle_I_5	Arbuckle	5-I-BF	5-I-Endo	IR50
Arbuckle_I_6	Arbuckle	6-I-BF	6-I-Endo	IR50
Arbuckle_I_7	Arbuckle	7-I-BF	7-I-Endo	IR50
Arbuckle_I_9	Arbuckle	9-I-BF	9-I-Endo	IR50
Arbuckle_M_1	Arbuckle	1-M-BF	1-M-Endo	M104
Arbuckle_M_10	Arbuckle	10-M-BF	10-M-Endo	M104
Arbuckle_M_11	Arbuckle	11-M-BF	11-M-Endo	M104
Arbuckle_M_12	Arbuckle	12-M-BF	12-M-Endo	M104
Arbuckle_M_3	Arbuckle	3-M-BF	3-M-Endo	M104
Arbuckle_M_4	Arbuckle	4-M-BF	4-M-Endo	M104
Arbuckle_M_6	Arbuckle	6-M-BF	6-M-Endo	M104
Arbuckle_M_9	Arbuckle	9-M-BF	9-M-Endo	M104
Arbuckle_N_1	Arbuckle	1-N-BF	1-N-Endo	Nipponebare
Arbuckle_N_10	Arbuckle	10-N-BF	10-N-Endo	Nipponebare
Arbuckle_N_3	Arbuckle	3-N-BF	3-N-Endo	Nipponebare
Arbuckle_N_4	Arbuckle	4-N-BF	4-N-Endo	Nipponebare
Arbuckle_N_5	Arbuckle	5-N-BF	5-N-Endo	Nipponebare
Arbuckle_N_6	Arbuckle	6-N-BF	6-N-Endo	Nipponebare
Arbuckle_N_7	Arbuckle	7-N-BF	7-N-Endo	Nipponebare
BB_P1_1	BB_P1	Rhizoplane_6.1	Endosphere_6.1	S102
BB_P1_2	BB_P1	Rhizoplane_6.2	Endosphere_6.2	S102
BB_P1_3	BB_P1	Rhizoplane_6.3	Endosphere_6.3	S102
BB_P1_4	BB_P1	Rhizoplane_6.4	Endosphere_6.4	S102
BB_P1_5	BB_P1	Rhizoplane_6.5	Endosphere_6.5	S102
BB_P1_6	BB_P1	Rhizoplane_6.6	Endosphere_6.6	S102
BB_P1_7	BB_P1	Rhizoplane_6.7	Endosphere_6.7	S102
BB_P1_8	BB_P1	Rhizoplane_6.8	Endosphere_6.8	S102
BB_P4_1	BB_P4	Rhizoplane_7.1	Endosphere_7.1	S102
BB_P4_2	BB_P4	Rhizoplane_7.2	Endosphere_7.2	S102
BB_P4_3	BB_P4	Rhizoplane_7.3	Endosphere_7.3	S102
BB_P4_4	BB_P4	Rhizoplane_7.4	Endosphere_7.4	S102
BB_P4_5	BB_P4	Rhizoplane_7.5	Endosphere_7.5	S102
BB_P4_6	BB_P4	Rhizoplane_7.6	Endosphere_7.6	S102
BB_P4_7	BB_P4	Rhizoplane_7.7	Endosphere_7.7	S102
BB_P4_8	BB_P4	Rhizoplane_7.8	Endosphere_7.8	S102
Ditaler_18_1	Ditaler_18	Rhizoplane_1.1	Endosphere_1.1	S102
Ditaler_18_2	Ditaler_18	Rhizoplane_1.2	Endosphere_1.2	S102
Ditaler_18_3	Ditaler_18	Rhizoplane_1.3	Endosphere_1.3	S102
Ditaler_18_4	Ditaler_18	Rhizoplane_1.4	Endosphere_1.4	S102
Ditaler_18_6	Ditaler_18	Rhizoplane_1.6	Endosphere_1.6	S102
Ditaler_18_7	Ditaler_18	Rhizoplane_1.7	Endosphere_1.7	S102
Ditaler_18_8	Ditaler_18	Rhizoplane_1.8	Endosphere_1.8	S102
Ditaler_19_1	Ditaler_19	Rhizoplane_2.1	Endosphere_2.1	S102
Ditaler_19_2	Ditaler_19	Rhizoplane_2.2	Endosphere_2.2	S102
Ditaler_19_3	Ditaler_19	Rhizoplane_2.3	Endosphere_2.3	S102
Ditaler_19_4	Ditaler_19	Rhizoplane_2.4	Endosphere_2.4	S102
Ditaler_19_5	Ditaler_19	Rhizoplane_2.5	Endosphere_2.5	S102
Ditaler_19_6	Ditaler_19	Rhizoplane_2.6	Endosphere_2.6	S102
Ditaler_19_7	Ditaler_19	Rhizoplane_2.7	Endosphere_2.7	S102
Ditaler_19_8	Ditaler_19	Rhizoplane_2.8	Endosphere_2.8	S102
DS_RR_1	DS_RR	Rhizoplane_5.1	Endosphere_5.1	S102
DS_RR_2	DS_RR	Rhizoplane_5.2	Endosphere_5.2	S102
DS_RR_3	DS_RR	Rhizoplane_5.3	Endosphere_5.3	S102
DS_RR_4	DS_RR	Rhizoplane_5.4	Endosphere_5.4	S102
DS_RR_5	DS_RR	Rhizoplane_5.5	Endosphere_5.5	S102
DS_RR_6	DS_RR	Rhizoplane_5.6	Endosphere_5.6	S102
DS_RR_7	DS_RR	Rhizoplane_5.7	Endosphere_5.7	S102
DS_RR_8	DS_RR	Rhizoplane_5.8	Endosphere_5.8	S102
Scheidec_1	Scheidec	Rhizoplane_8.1	Endosphere_8.1	S102
Scheidec_2	Scheidec	Rhizoplane_8.2	Endosphere_8.2	S102
Scheidec_3	Scheidec	Rhizoplane_8.3	Endosphere_8.3	S102
Scheidec_5	Scheidec	Rhizoplane_8.5	Endosphere_8.5	S102
Scheidec_7	Scheidec	Rhizoplane_8.7	Endosphere_8.7	S102
Scheidec_8	Scheidec	Rhizoplane_8.8	Endosphere_8.8	S102
SFT_20_A_1	SFT_20_A	Rhizoplane_4.1	Endosphere_4.1	S102
SFT_20_A_2	SFT_20_A	Rhizoplane_4.2	Endosphere_4.2	S102
SFT_20_A_3	SFT_20_A	Rhizoplane_4.3	Endosphere_4.3	S102
SFT_20_A_5	SFT_20_A	Rhizoplane_4.5	Endosphere_4.5	S102
SFT_20_A_6	SFT_20_A	Rhizoplane_4.6	Endosphere_4.6	S102
SFT_20_A_7	SFT_20_A	Rhizoplane_4.7	Endosphere_4.7	S102
SFT_20_A_8	SFT_20_A	Rhizoplane_4.8	Endosphere_4.8	S102
Spooner_Airstrip_1	Spooner_Airstrip	Rhizoplane_3.1	Endosphere_3.1	S102
Spooner_Airstrip_2	Spooner_Airstrip	Rhizoplane_3.2	Endosphere_3.2	S102
Spooner_Airstrip_3	Spooner_Airstrip	Rhizoplane_3.3	Endosphere_3.3	S102
Spooner_Airstrip_4	Spooner_Airstrip	Rhizoplane_3.4	Endosphere_3.4	S102
Spooner_Airstrip_5	Spooner_Airstrip	Rhizoplane_3.5	Endosphere_3.5	S102
Spooner_Airstrip_6	Spooner_Airstrip	Rhizoplane_3.6	Endosphere_3.6	S102
Spooner_Airstrip_7	Spooner_Airstrip	Rhizoplane_3.7	Endosphere_3.7	S102
Spooner_Airstrip_8	Spooner_Airstrip	Rhizoplane_3.8	Endosphere_3.8	S102